Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
10/27/20,83.5,84,82.6,83,107,55629,4622205.9
10/26/20,83,84.1,81,83,212,154933,12887137.6
10/23/20,85.9,86.3,83.6,85,134,85044,7242079.2
10/22/20,83.2,86.9,80.1,85,219,158348,13184519
10/21/20,89,89.9,84,84.7,350,259668,22189119.9
10/20/20,88.9,89.9,87.8,88.9,184,194104,17168256.9
10/19/20,90,90.5,88.2,89.3,214,138461,12381860.2
10/16/20,89,90.5,88,89.9,291,409777,36766761.7
10/15/20,85.5,89,85.5,88.5,255,330908,29020863.4
10/14/20,84.2,85.9,83.6,85.5,115,113293,9582328.5
10/13/20,85.8,85.8,83.5,84,170,110872,9328218.7
10/12/20,84,85.2,83.1,84.8,108,114748,9661226.6
10/9/20,83.4,85,83.4,84.1,211,205225,17279558.3
10/8/20,80.6,83,80.6,82.6,176,213205,17639366.6
10/7/20,79.5,81.9,78,80.5,236,292236,23465791.4
10/6/20,78,83.9,77,79.5,427,345726,27759554.8
10/5/20,85,85,78,80.1,586,850128,69214230.2
10/2/20,87.2,90.9,87,88.6,241,432709,38317842.6
9/30/20,87.7,87.7,86,86.8,103,127384,10993919.6
9/29/20,86,87.8,85.3,87.2,114,107966,9273812.9
9/28/20,85,88,84.8,86.3,179,192678,16629850.2
9/25/20,83.7,86,83.7,84.6,72,83754,7093356.6
9/24/20,86,86,83.3,83.7,218,350943,29473272
9/23/20,86,86,84.3,85.1,225,497489,42328956.2
9/22/20,86.5,86.5,85.3,85.5,188,323962,27735111.9
9/21/20,89,89,85,86.1,313,1600270,137840085.6
9/18/20,85.5,90,85.5,87.6,447,833571,73649337.6
9/17/20,82.6,85,82.6,84.9,409,747388,63008580.4
9/16/20,81.5,82.2,80,82.1,270,479337,39076654.8
9/15/20,81,82,80,81.1,168,163063,13210595.5
9/14/20,79,82,79,81.1,178,200272,16041431.1
9/11/20,78,79,78,79,83,50551,3982327.7
9/10/20,78.2,79,78,78.8,133,105792,8319806.3
9/9/20,77.5,78.2,77.5,78.1,107,82747,6451203.8
9/8/20,78,78.4,77.2,77.9,71,47421,3689515.5
9/7/20,77.8,79,77.5,77.8,119,66562,5199535.1
9/4/20,77.9,77.9,77,77.6,99,91793,7096952.4
9/3/20,77.5,77.8,77.3,77.5,46,10581,820253.9
9/2/20,78,78.2,77.5,77.6,135,132042,10284562.2
8/31/20,77,77.7,77,77.5,108,71675,5547594.6
8/28/20,77.3,77.7,76.7,76.8,68,68458,5265145.9
8/27/20,77,77,76.1,76.7,128,102516,7883719.4
8/26/20,77.1,77.8,76.2,77,93,93398,7198307.1
8/25/20,77,78,75.4,77.6,125,51077,3943425.7
8/24/20,77.5,77.5,76.4,77,145,116859,9003433.1
8/21/20,76,78.5,76,77.5,252,364220,28059795.5
8/20/20,75.5,76.1,74.8,76,183,363144,27535402
8/19/20,74,75.5,73.7,74.8,176,672829,49856118.3
8/18/20,74,74,73.5,73.7,121,94618,6973502.8
8/17/20,76,76,73.9,74,133,450390,33370189.9
8/14/20,73.6,76,73.3,75.8,248,300528,22607740.9
8/13/20,73,74,73,73.2,148,147144,10799026.5
8/12/20,71.7,73.4,71.7,73,201,244274,17764565.9
8/11/20,71.2,71.9,71.2,71.5,73,132888,9476085.2
8/10/20,72,72,70.8,71.2,88,60042,4276693.7
8/7/20,72.7,73,71,71.9,157,371005,26683143.7
8/6/20,71.9,72,70.7,71.7,313,283695,20230607.4
8/5/20,73.9,74.5,73.1,73.7,153,117440,8652829.8
8/4/20,72,74,72,73.5,239,138472,10133988.4
7/31/20,71,72,71,71.8,166,301883,21662884.8
7/30/20,71.5,71.5,70.9,71.1,152,89176,6337951.7
7/29/20,71.5,71.5,71,71.3,161,71036,5057855.1
7/28/20,70,72,70,71.3,391,252747,17999528.8
7/27/20,67.9,68,67.6,67.8,83,61560,4174767.8
7/24/20,67.9,68,67.2,67.9,56,38889,2640534.1
7/23/20,67.5,67.5,66,67,25,116943,7729502.9
7/22/20,68.5,68.5,66.5,66.7,67,47497,3176247.7
7/21/20,67.9,68,66,66.9,91,564196,37270990.3
7/20/20,65.8,67,65.8,66.3,113,122343,8166891.7
7/17/20,65.7,65.9,64.9,65.2,59,33931,2217021.3
7/16/20,63.6,65.9,63.6,64.8,87,28250,1827282.3
7/15/20,64.7,64.7,62,63.6,78,30593,1916997.1
7/14/20,62,65.9,62,64.1,109,54906,3543978.6
